0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/services.jsp HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/service1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [12/Dec/2024:12:15:42 +0530] "GET /GenSeaTech/assets/internship1.jpg HTTP/1.1" 404 793
